Month,Consumer Sentiment,Interest Rate,PMI,Money Supply,NationalEAI,EastEAI,WestEAI,SouthEAI,NorthEAI
1,67.2,1.5385,55.5,20847.8,57.08307797,56.51224719,54.62850561,56.51224719,57.08307797
2,62.8,1.811578947,57.3,20964.3,47.49655322,45.45420143,47.02158768,45.45420143,47.49655322
3,59.4,2.109130435,58.8,21115.6,41.69738509,39.90439753,42.65642495,41.28041124,41.69738509
4,65.2,2.7775,59.2,21315.8,48.50342898,46.41778153,46.41778153,48.01839469,43.65308608
5,58.4,2.874285714,57,21549.3,41.53594873,38.37921663,39.74990293,42.49127555,49.84313847
6,50,3.19,52.7,21562.3,24.93473559,25.50823451,23.86254196,23.86254196,24.93473559
7,51.5,2.9635,52.2,21570.7,31.94145347,32.6761069,30.56797098,31.62203894,35.13559882
8,58.2,3.027391304,51.5,21697.9,40.86782611,39.11050959,41.80778611,39.11050959,40.86782611
9,58.6,3.696666667,52,21677.1,36.47894301,34.91034846,36.11415358,34.91034846,43.77473161
10,59.9,4.178,50.4,21665.5,40.09248994,39.69156504,41.01461721,41.01461721,44.10173894
11,56.7,4.0555,47.7,21666.1,39.4347928,37.73909671,37.73909671,40.34179303,39.4347928
12,59.8,3.764285714,46.2,21703.6,45.96287008,43.98646667,43.98646667,45.50324138,41.36658308
13,64.9,3.643,46.9,21659.7,53.22073288,49.17595718,50.93224137,50.93224137,53.22073288
14,66.9,3.942105263,47.3,21525.1,53.10335655,49.06750145,50.81991222,56.07714451,47.79302089
15,62,3.823478261,49.2,21433.2,48.48933157,48.00443826,49.6045862,48.00443826,43.64039842
16,63.7,3.537,50.2,21399.3,52.89788849,48.87764896,50.62327928,50.62327928,58.18767734
17,59,3.591363636,48.4,21358.3,41.90902379,38.72393798,40.10693577,42.87293134,50.29082855
18,64.2,3.94952381,46.3,21221.7,47.93415796,49.03664359,45.87298917,47.45481638,43.14074216
19,71.5,4.1415,49,21099.8,61.96870189,57.25908055,61.34901487,59.30404771,68.16557208
20,69.4,4.306521739,47.9,20876,58.47296044,57.88823083,55.95862314,55.95862314,52.62566439
21,67.9,4.487,49.8,20705.4,56.01843473,53.60964204,55.45825038,59.15546708,56.01843473
22,63.8,4.772380952,50,20820.7,48.35839277,46.27898188,47.87480884,47.87480884,43.52255349
23,61.3,4.486190476,49.4,20854.5,48.78154463,45.07414724,46.68393821,49.90352016,48.78154463
24,69.7,4.0045,48.2,20863.7,64.51504777,61.74090071,65.99889387,65.99889387,77.41805732
25,71.7,4.05812,47.7,20825.5,63.37204201,62.73832159,60.6470442,60.6470442,63.37204201
26,67.4,3.958333333,50.4,20755.3,57.61578395,55.13830524,57.03962611,57.03962611,57.61578395
27,70.6,3.82,52,20725.6,63.5408565,65.0022962,62.90544793,60.80859967,63.5408565
28,72.8,3.74,51.5,20767.4,66.76950339,66.10180836,63.89841474,63.89841474,73.44645373
